parameter,value,text,entities,regex_extracted
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,5.0,Pregnancies 5.0,"[('5.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,6.0,Pregnancies 6.0,"[('6.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,9.0,Pregnancies 9.0,"[('9.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,4.0,Pregnancies 4.0,"[('4.0', 'CARDINAL')]",
Pregnancies,8.0,Pregnancies 8.0,"[('8.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,2.0,Pregnancies 2.0,"[('2.0', 'CARDINAL')]",
Pregnancies,3.0,Pregnancies 3.0,"[('3.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,0.0,Pregnancies 0.0,"[('0.0', 'CARDINAL')]",
Pregnancies,7.0,Pregnancies 7.0,"[('7.0', 'CARDINAL')]",
Pregnancies,1.0,Pregnancies 1.0,"[('1.0', 'CARDINAL')]",
